iter	RMSE
0	23.87318236
1	20.67010185
2	19.73439637
3	19.46447633
4	19.26896817
5	19.09858165
6	19.04505075
7	18.9950039
8	18.95561824
9	18.92221059
10	18.89972597
11	18.88566953
12	18.85216643
13	18.82525075
14	18.79385482
15	18.77175268
16	18.74974802
17	18.7361609
18	18.71715376
19	18.69569669
20	18.66896155
21	18.63918069
22	18.60035371
23	18.54249883
24	18.51773494
25	18.49779979
26	18.48333626
27	18.46481317
28	18.43358389
29	18.40794507
30	18.35866089
31	18.32191543
32	18.29867624
33	18.26096399
34	18.21863766
35	18.15540806
36	18.12400338
37	18.0991729
38	18.06673202
39	18.0021206
40	17.96371135
41	17.92922803
42	17.88859722
43	17.86910015
44	17.85598574
45	17.82586817
46	17.77116833
47	17.75212209
48	17.7389737
49	17.69903615
50	17.64414748
51	17.6142378
52	17.57429126
53	17.54362749
54	17.52664428
55	17.48538187
56	17.46322157
57	17.41367862
58	17.38492124
59	17.33739983
60	17.32057288
61	17.29166687
62	17.24387947
63	17.21599395
64	17.19960291
65	17.17347625
66	17.13572789
67	17.10747415
68	17.07970848
69	17.03922989
70	17.02430642
71	16.98912383
72	16.95774556
73	16.92088703
74	16.89185055
75	16.85356068
76	16.83167022
77	16.79386953
78	16.76134501
79	16.72117114
80	16.70794538
81	16.68846845
82	16.67291807
83	16.64396408
84	16.62262009
85	16.59776428
86	16.56568509
87	16.5430947
88	16.51927937
89	16.49501634
90	16.46460736
91	16.44649833
92	16.40900008
93	16.37846566
94	16.34314718
95	16.31951784
96	16.30023239
97	16.25783008
98	16.23750955
99	16.19979657
100	16.17986661
101	16.14298572
102	16.11036044
103	16.10171994
104	16.08026658
105	16.05748926
106	16.03747105
107	16.00187228
108	15.9718065
109	15.94984228
110	15.92100499
111	15.90235878
112	15.85561043
113	15.82282425
114	15.79955563
115	15.77072595
116	15.74924703
117	15.73267348
118	15.71886517
119	15.68815125
120	15.67316635
121	15.64240696
122	15.62033195
123	15.59173757
124	15.57737126
125	15.5530499
126	15.54332606
