iter	RMSE
127	15.53400122
128	15.49633062
129	15.46329771
130	15.43920112
131	15.42414622
132	15.39434205
133	15.34845337
134	15.3226575
135	15.3134018
136	15.29440206
137	15.27093816
138	15.23299796
139	15.21692381
140	15.1917118
141	15.16963818
142	15.1538703
143	15.11382327
144	15.09380262
145	15.06480251
146	15.04943654
147	15.03998492
148	15.01569487
149	14.9999793
150	14.97726516
151	14.95461313
152	14.93111746
153	14.90180716
154	14.87910204
155	14.84098239
156	14.81658772
157	14.78213201
158	14.75228209
159	14.72945511
160	14.70338777
161	14.68078732
162	14.64865579
163	14.62931181
164	14.61334169
165	14.59308035
166	14.56993429
167	14.54846517
168	14.53719635
169	14.50741612
170	14.49733769
171	14.48457667
172	14.47214844
173	14.44471251
174	14.40821656
175	14.38649367
176	14.37477974
177	14.35013422
178	14.33771771
179	14.32201353
180	14.30946331
181	14.27483832
182	14.25310985
183	14.23170394
184	14.21102452
185	14.20514601
186	14.17792103
187	14.14373296
188	14.13339097
189	14.11272528
190	14.09782157
191	14.08173412
192	14.06224372
193	14.05093804
194	14.0354936
195	14.02652243
196	13.99951172
197	13.97842004
198	13.97087845
199	13.94796385
200	13.9383761
201	13.9146091
202	13.89453925
203	13.85863856
204	13.83525369
205	13.82062746
206	13.79046307
207	13.78212686
208	13.76069679
209	13.74612846
210	13.73066902
211	13.71757953
212	13.70710982
213	13.69595299
214	13.6718484
215	13.65797345
216	13.64156467
217	13.6187623
218	13.59595506
219	13.5752303
220	13.54927503
221	13.53538955
222	13.5125865
223	13.50643495
224	13.48562441
225	13.47841569
226	13.46683754
227	13.44909607
228	13.43962508
229	13.41675006
230	13.38944784
231	13.37478626
232	13.35704409
233	13.35151353
234	13.33583166
235	13.32743999
236	13.30352574
237	13.28404677
238	13.26258614
239	13.25600286
240	13.23875451
241	13.2219668
242	13.1908091
243	13.17346134
244	13.15061454
245	13.13492553
246	13.11817288
247	13.10572713
248	13.09283591
249	13.08038112
250	13.05738243
251	13.05071165
252	13.03213983
253	13.01586403
254	13.00740914
255	12.99695854
256	12.9876019
257	12.97683079
258	12.96363087
259	12.94426906
260	12.93660455
261	12.91699055
262	12.89114101
263	12.88460843
264	12.87446576
265	12.84880156
266	12.83594998
267	12.82139676
268	12.80338062
269	12.79360148
270	12.78452283
271	12.77051127
272	12.7533188
273	12.73436765
274	12.72445571
275	12.70716052
276	12.69850855
277	12.69067445
278	12.67657518
279	12.66435166
280	12.65755299
281	12.64905636
282	12.62437869
283	12.60745622
284	12.59296937
285	12.57910706
286	12.56300183
287	12.55154721
288	12.53370477
289	12.5137293
290	12.49618879
291	12.47044171
292	12.45101303
293	12.43265849
294	12.42143597
295	12.40886154
296	12.3927321
297	12.38076505
298	12.37457335
299	12.35931892
300	12.33354944
301	12.32506874
302	12.30074528
303	12.29141965
304	12.27322094
305	12.26072579
306	12.24866682
307	12.24195868
308	12.23159794
309	12.21339856
310	12.19766408
311	12.18525559
312	12.1694857
313	12.16080516
314	12.13937469
315	12.12747664
316	12.11528996
317	12.09984927
318	12.08078726
319	12.07421034
320	12.0591943
321	12.04085136
322	12.03366224
323	12.02290848
324	12.01111028
325	12.00320803
326	11.9893998
327	11.97762441
328	11.96062196
329	11.94537318
330	11.92701637
331	11.91338592
332	11.90164619
333	11.89190569
334	11.87736189
335	11.85844922
336	11.84489008
337	11.83224585
338	11.82513488
339	11.81698954
340	11.79149605
341	11.77531595
342	11.76436309
343	11.74542502
344	11.7328807
345	11.7224036
346	11.6977819
347	11.68273123
348	11.66958082
349	11.65539527
350	11.65294608
351	11.64495458
352	11.6372413
353	11.62199973
354	11.61642841
355	11.61082254
356	11.59645597
357	11.58547624
358	11.56992911
359	11.55648813
360	11.53822253
361	11.52915629
362	11.51386704
363	11.50348111
364	11.48727109
365	11.47363701
366	11.46673632
367	11.45386697
368	11.44300034
369	11.42776404
370	11.41745352
371	11.4014584
372	11.38941064
373	11.37898613
374	11.36908298
375	11.35591108
376	11.34306074
377	11.33076225
378	11.31898313
379	11.31000878
380	11.30597306
381	11.29314096
382	11.281847
383	11.2713871
384	11.26305385
385	11.25014255
386	11.2328346
387	11.21932714
388	11.21281197
389	11.20797637
390	11.18741937
391	11.1687715
392	11.15566438
393	11.1374565
394	11.12461517
395	11.10981333
396	11.10313604
397	11.09618679
398	11.08606709
399	11.0805512
400	11.06597043
401	11.04724076
402	11.03404555
403	11.02245794
404	11.01379054
405	10.99763557
406	10.99077116
407	10.98428239
408	10.96541864
409	10.95875905
410	10.94604188
411	10.93835809
412	10.9267302
413	10.91718076
414	10.90918988
415	10.89605378
416	10.89057212
417	10.87742397
418	10.86200718
419	10.85172192
420	10.84409297
421	10.83488506
422	10.82093935
423	10.80733085
424	10.79596276
425	10.77827998
426	10.76688677
427	10.75865719
428	10.73941103
429	10.73268241
430	10.72225138
431	10.71039779
432	10.70054706
433	10.684941
434	10.67176775
435	10.65848131
436	10.64003423
437	10.62764461
438	10.61459092
439	10.60716514
440	10.59493374
441	10.58533539
442	10.57703511
443	10.56830576
444	10.55992142
445	10.55047965
446	10.53883394
447	10.53224757
448	10.5191033
449	10.50463835
450	10.48810271
451	10.47986499
452	10.47349861
453	10.46819205
454	10.45441505
455	10.44038942
456	10.42526781
457	10.41747155
458	10.41125166
459	10.39989782
460	10.38721832
461	10.37051561
462	10.35931249
463	10.34911316
464	10.33860524
465	10.33328371
466	10.32732241
467	10.31457511
468	10.30791668
469	10.29131441
470	10.28652792
471	10.2713408
472	10.25192927
473	10.23627673
474	10.22517233
475	10.21686578
476	10.20720261
477	10.19677678
478	10.17722538
479	10.16658795
480	10.15540441
481	10.15006507
482	10.14417383
483	10.13353057
484	10.12742162
485	10.11708117
486	10.10304875
487	10.09590489
488	10.08849855
489	10.07600134
490	10.06335572
491	10.04988691
492	10.03861975
493	10.02754356
494	10.02147604
495	10.01394013
496	10.0080496
497	9.995765372
498	9.9755932
499	9.967333511
500	9.961430096
501	9.950629771
502	9.942981024
503	9.935357034
504	9.928320115
505	9.922763217
506	9.91639258
507	9.905142943
508	9.896647706
509	9.89231271
510	9.882125277
511	9.872773053
512	9.858816798
513	9.845632413
514	9.833480427
515	9.82759016
516	9.815763442
517	9.808388125
518	9.799148912
519	9.793270611
520	9.785870716
521	9.766591853
522	9.754695769
523	9.747100296
524	9.73729007
525	9.723092377
526	9.717507819
527	9.709734153
528	9.705864053
529	9.695812298
530	9.681353057
531	9.675834493
532	9.668440119
533	9.65917397
